ID US,User Story,ID Tâche,Tâche Technique Détaillée,Estimation (min),Responsable
US-5.15,"Le système empêche participation sans équipe",T5.15.1,"Vérifier dans FrontofficeParticipationController que l'étudiant appartient à une équipe",20,Admin
US-5.15,"Le système empêche participation sans équipe",T5.15.2,"Rediriger avec message d'erreur si pas d'équipe",15,Admin
US-5.15,"Le système empêche participation sans équipe",T5.15.3,"Tester tentative de participation sans équipe",20,Admin
US-5.16,"Le système empêche participation à événement annulé",T5.16.1,"Vérifier dans validateParticipation() si isCanceled = true",15,Admin
US-5.16,"Le système empêche participation à événement annulé",T5.16.2,"Refuser automatiquement avec message",15,Admin
US-5.16,"Le système empêche participation à événement annulé",T5.16.3,"Tester avec événements annulés",20,Admin
US-5.17,"Le système limite à capacité maximale",T5.17.1,"Déjà implémenté dans US-5.12 (validateParticipation)",10,Admin
US-5.17,"Le système limite à capacité maximale",T5.17.2,"Tests supplémentaires de cas limites",20,Admin
US-5.18,"Le système vérifie taille d'équipe (4-6)",T5.18.1,"Validation Assert\Count dans Equipe.php (déjà fait)",10,Admin
US-5.18,"Le système vérifie taille d'équipe (4-6)",T5.18.2,"Messages d'erreur personnalisés (minMessage, maxMessage)",15,Admin
US-5.18,"Le système vérifie taille d'équipe (4-6)",T5.18.3,"Tests avec 3, 4, 6, 7 membres",35,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.1,"Installer SendGrid: composer require symfony/sendgrid-mailer",10,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.2,"Configurer MAILER_DSN dans .env.local avec clé SendGrid",15,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.3,"Créer src/Service/EmailService.php avec MailerInterface",25,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.4,"Implémenter méthode sendParticipationConfirmation()",45,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.5,"Générer QR code via endroid/qr-code (composer require endroid/qr-code)",35,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.6,"Créer src/Service/BadgeService.php pour générer PDF",60,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.7,"Intégrer dompdf: composer require dompdf/dompdf",30,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.8,"Créer template templates/emails/participation_confirmation.html.twig",50,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.9,"Générer fichier .ics pour calendrier",40,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.10,"Attacher QR code, badge PDF, .ics à l'email",35,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.11,"Appeler sendParticipationConfirmation() après acceptation",20,Admin
US-5.19,"Le système envoie email confirmation avec QR code et badge PDF",T5.19.12,"Tester envoi email",30,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.1,"Créer méthode sendEventCancellation() dans EmailService",30,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.2,"Créer template templates/emails/event_cancelled.html.twig",40,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.3,"Créer src/EventSubscriber/EvenementWorkflowSubscriber.php",35,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.4,"Écouter événement workflow.entered.annule",25,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.5,"Implémenter méthode onAnnule() pour envoyer emails",40,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.6,"Parcourir toutes participations acceptées",30,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.7,"Envoyer email à chaque membre de chaque équipe",35,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.8,"Logger les envois (succès/échecs)",25,Admin
US-5.20,"Le système envoie email annulation événement",T5.20.9,"Tester envoi emails annulation",30,Admin
US-5.21,"Le système envoie email démarrage événement",T5.21.1,"Créer méthode sendEventStarted() dans EmailService",30,Admin
US-5.21,"Le système envoie email démarrage événement",T5.21.2,"Créer template templates/emails/event_started.html.twig",40,Admin
US-5.21,"Le système envoie email démarrage événement",T5.21.3,"Écouter événement workflow.entered.en_cours",20,Admin
US-5.21,"Le système envoie email démarrage événement",T5.21.4,"Implémenter méthode onEnCours() pour envoyer emails",35,Admin
US-5.21,"Le système envoie email démarrage événement",T5.21.5,"Tester envoi emails démarrage",25,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.1,"Créer src/Command/SendEventRemindersCommand.php",35,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.2,"Récupérer événements dans 3 jours",30,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.3,"Créer méthode sendEventReminder() dans EmailService",30,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.4,"Créer template templates/emails/event_reminder.html.twig",35,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.5,"Envoyer à tous les participants",30,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.6,"Configurer cron job (documentation)",20,Admin
US-5.22,"Le système envoie email rappel 3 jours avant",T5.22.7,"Tester commande",25,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.1,"Créer src/Service/CertificateService.php",40,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.2,"Implémenter méthode generateCertificate() avec dompdf",60,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.3,"Design template certificat (HTML/CSS)",75,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.4,"Ajouter logo, signature, QR code",45,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.5,"Créer méthode sendCertificate() dans EmailService",30,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.6,"Créer src/Command/SendCertificatesCommand.php",35,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.7,"Récupérer événements terminés",25,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.8,"Envoyer certificat à chaque participant",35,Admin
US-5.23,"Le système génère et envoie certificats PDF",T5.23.9,"Tester génération et envoi",30,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.1,"Installer tattali/calendar-bundle: composer require tattali/calendar-bundle",10,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.2,"Créer config/packages/calendar.yaml",15,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.3,"Créer src/EventSubscriber/CalendarSubscriber.php",35,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.4,"Implémenter onCalendarSetData()",40,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.5,"Convertir événements en CalendarEvent",30,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.6,"Ajouter route /events/calendar",15,Admin
US-5.24,"En tant qu'Étudiant, je souhaite consulter un calendrier visuel",T5.24.7,"Créer template templates/frontoffice/evenement/calendar.html.twig avec FullCalendar",60,Admin
